date,state,contact_method,age_group,gender,scam_category,scam_type,amount_lost,reports,year,month,month_name,source
2025-05-01,Western Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,12115.78,18,2025,5,May,NASC
2025-06-01,Western Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,9509.78,16,2025,6,June,NASC
2025-07-01,Western Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,2119.59,13,2025,7,July,NASC
2025-08-01,Western Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,4366.32,20,2025,8,August,NASC
2025-01-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,3428.94,9,2025,1,January,NASC
2025-02-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,1876.81,9,2025,2,February,NASC
2025-03-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,9254.0,7,2025,3,March,NASC
2025-04-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,9189.88,15,2025,4,April,NASC
2025-05-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,87947.6,20,2025,5,May,NASC
2025-06-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,330.8,8,2025,6,June,NASC
2025-07-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,20505.0,9,2025,7,July,NASC
2025-08-01,Western Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,2313.7,11,2025,8,August,NASC
2025-01-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,1197.0,12,2025,1,January,NASC
2025-03-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,500.0,2,2025,3,March,NASC
2025-04-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,9213.98,7,2025,4,April,NASC
2025-05-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,7810.37,12,2025,5,May,NASC
2025-06-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,827.86,6,2025,6,June,NASC
2025-07-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,199.24,10,2025,7,July,NASC
2025-08-01,Western Australia,Online,65 and over,Male,Buying or selling,Shopping scams,568.0,6,2025,8,August,NASC
2025-01-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,21341.1,17,2025,1,January,NASC
2025-02-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,24511.34,17,2025,2,February,NASC
2025-03-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,11004.53,13,2025,3,March,NASC
2025-04-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,5629.9,8,2025,4,April,NASC
2025-05-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,1584.2,10,2025,5,May,NASC
2025-06-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,2321.77,17,2025,6,June,NASC
2025-07-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,9160.56,9,2025,7,July,NASC
2025-08-01,Western Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,8022.63,11,2025,8,August,NASC
2025-01-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,7479.53,11,2025,1,January,NASC
2025-02-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,3629.43,9,2025,2,February,NASC
2025-03-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,1896.29,11,2025,3,March,NASC
2025-04-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,687.3,7,2025,4,April,NASC
2025-05-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,8346.83,18,2025,5,May,NASC
2025-06-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,900.0,6,2025,6,June,NASC
2025-07-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,3840.75,9,2025,7,July,NASC
2025-08-01,Western Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,1050.09,12,2025,8,August,NASC
2025-01-01,Western Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,5350.0,3,2025,1,January,NASC
2025-02-01,Western Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,1135.9,6,2025,2,February,NASC
2025-03-01,Western Australia,Online,Under 18,Male,Buying or selling,Shopping scams,0.0,1,2025,3,March,NASC
2025-04-01,Western Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,3555.0,6,2025,4,April,NASC
2025-05-01,Western Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,229.36,4,2025,5,May,NASC
2025-07-01,Western Australia,Online,Under 18,Male,Buying or selling,Shopping scams,130.0,3,2025,7,July,NASC
2025-08-01,Western Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,39987.25,9,2025,8,August,NASC
2025-01-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,14724.0,6,2025,1,January,NASC
2025-01-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,4282.3,7,2025,1,January,NASC
2025-02-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,100.0,3,2025,2,February,NASC
2025-02-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,5358.12,8,2025,2,February,NASC
2025-03-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,175.0,4,2025,3,March,NASC
2025-03-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,854.15,7,2025,3,March,NASC
2025-04-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,5077.59,8,2025,4,April,NASC
2025-05-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,577.81,7,2025,5,May,NASC
2025-05-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,1243.4,6,2025,5,May,NASC
2025-05-01,Western Australia,Online,Under 18,Female,Buying or selling,Shopping scams,0.0,1,2025,5,May,NASC
2025-06-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,0.0,2,2025,6,June,NASC
2025-06-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,141.48,4,2025,6,June,NASC
2025-07-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,203.95,7,2025,7,July,NASC
2025-07-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,3541.49,7,2025,7,July,NASC
2025-08-01,Western Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,310.0,5,2025,8,August,NASC
2025-08-01,Western Australia,Online,65 and over,Female,Buying or selling,Shopping scams,20349.56,10,2025,8,August,NASC
2025-01-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,3096.85,10,2025,1,January,NASC
2025-02-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,3649.16,9,2025,2,February,NASC
2025-03-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,3728.99,13,2025,3,March,NASC
2025-05-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,5321.7,22,2025,5,May,NASC
2025-06-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,3195.99,13,2025,6,June,NASC
2025-07-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,5480.65,15,2025,7,July,NASC
2025-08-01,Western Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,7364.44,11,2025,8,August,NASC
2025-01-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,240.31,9,2025,1,January,NASC
2025-02-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,744.0,8,2025,2,February,NASC
2025-03-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,2135.13,8,2025,3,March,NASC
2025-04-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,4081.59,13,2025,4,April,NASC
2025-05-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,964.13,11,2025,5,May,NASC
2025-06-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,150.0,7,2025,6,June,NASC
2025-07-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,1454.36,8,2025,7,July,NASC
2025-08-01,Western Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,579.67,9,2025,8,August,NASC
2025-01-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,5237.4,16,2025,1,January,NASC
2025-02-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,2983.6,13,2025,2,February,NASC
2025-03-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,3095.59,15,2025,3,March,NASC
2025-04-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,16819.11,13,2025,4,April,NASC
2025-05-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,2305.24,10,2025,5,May,NASC
2025-06-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,2088.35,18,2025,6,June,NASC
2025-07-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,10072.16,24,2025,7,July,NASC
2025-08-01,Western Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,3561.0,27,2025,8,August,NASC
2025-01-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,4226.71,20,2025,1,January,NASC
2025-02-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,3029.47,17,2025,2,February,NASC
2025-03-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,6577.25,11,2025,3,March,NASC
2025-04-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,3542.44,13,2025,4,April,NASC
2025-05-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,5576.35,15,2025,5,May,NASC
2025-06-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,5536.35,16,2025,6,June,NASC
2025-07-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,3202.67,17,2025,7,July,NASC
2025-08-01,Western Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,7068.09,17,2025,8,August,NASC
2025-04-01,Western Australia,Online,25 - 34,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,1,2025,4,April,NASC
2025-01-01,South Australia,Online,65 and over,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,1,2025,1,January,NASC
2025-03-01,South Australia,Online,25 - 34,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,1,2025,3,March,NASC
2025-01-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,1059.73,9,2025,1,January,NASC
2025-01-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,3.0,5,2025,1,January,NASC
2025-01-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,3149.41,12,2025,1,January,NASC
2025-01-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,1333.26,11,2025,1,January,NASC
2025-01-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,79.93,3,2025,1,January,NASC
2025-02-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,5956.93,11,2025,2,February,NASC
2025-02-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,1779.6,8,2025,2,February,NASC
2025-02-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,2440.0,5,2025,2,February,NASC
2025-02-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,536.98,6,2025,2,February,NASC
2025-02-01,South Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,215.0,6,2025,2,February,NASC
2025-02-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,187.38,6,2025,2,February,NASC
2025-03-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,3119.7,12,2025,3,March,NASC
2025-03-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,1338.87,9,2025,3,March,NASC
2025-03-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,768.07,5,2025,3,March,NASC
2025-03-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,1070.09,3,2025,3,March,NASC
2025-03-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,119.0,2,2025,3,March,NASC
2025-04-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,0.0,3,2025,4,April,NASC
2025-04-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,346.93,5,2025,4,April,NASC
2025-04-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,1280.83,9,2025,4,April,NASC
2025-04-01,South Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,4200.0,3,2025,4,April,NASC
2025-04-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,2523.98,4,2025,4,April,NASC
2025-05-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,2201.29,7,2025,5,May,NASC
2025-05-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,8144.43,10,2025,5,May,NASC
2025-05-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,4029.0,6,2025,5,May,NASC
2025-05-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,692.83,10,2025,5,May,NASC
2025-05-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,162.74,4,2025,5,May,NASC
2025-05-01,South Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,1450.0,5,2025,5,May,NASC
2025-06-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,937.7,11,2025,6,June,NASC
2025-06-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,207.0,4,2025,6,June,NASC
2025-06-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,26603.0,9,2025,6,June,NASC
2025-06-01,South Australia,Online,Under 18,Female,Buying or selling,Shopping scams,0.0,1,2025,6,June,NASC
2025-06-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,613.99,6,2025,6,June,NASC
2025-06-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,711.17,8,2025,6,June,NASC
2025-07-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,384.95,8,2025,7,July,NASC
2025-07-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,3437.15,14,2025,7,July,NASC
2025-07-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,1221.3,11,2025,7,July,NASC
2025-07-01,South Australia,Online,18 - 24,Female,Buying or selling,Shopping scams,750.0,5,2025,7,July,NASC
2025-07-01,South Australia,Online,25 - 34,Female,Buying or selling,Shopping scams,1714.32,14,2025,7,July,NASC
2025-07-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,944.0,3,2025,7,July,NASC
2025-08-01,South Australia,Online,35 - 44,Female,Buying or selling,Shopping scams,2367.99,9,2025,8,August,NASC
2025-08-01,South Australia,Online,55 - 64,Female,Buying or selling,Shopping scams,686.62,8,2025,8,August,NASC
2025-08-01,South Australia,Online,45 - 54,Female,Buying or selling,Shopping scams,1317.21,8,2025,8,August,NASC
2025-08-01,South Australia,Online,65 and over,Female,Buying or selling,Shopping scams,50.0,2,2025,8,August,NASC
2025-01-01,South Australia,Online,65 and over,Male,Buying or selling,Shopping scams,1226.06,8,2025,1,January,NASC
2025-01-01,South Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,6055.0,6,2025,1,January,NASC
2025-01-01,South Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,475.4,8,2025,1,January,NASC
2025-01-01,South Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,52.34,5,2025,1,January,NASC
2025-01-01,South Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,9094.49,8,2025,1,January,NASC
2025-01-01,South Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,1850.0,2,2025,1,January,NASC
2025-02-01,South Australia,Online,65 and over,Male,Buying or selling,Shopping scams,930.06,8,2025,2,February,NASC
2025-02-01,South Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,0.0,2,2025,2,February,NASC
2025-02-01,South Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,400.0,4,2025,2,February,NASC
2025-02-01,South Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,6225.28,8,2025,2,February,NASC
2025-02-01,South Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,886.0,6,2025,2,February,NASC
2025-03-01,South Australia,Online,65 and over,Male,Buying or selling,Shopping scams,1218.96,7,2025,3,March,NASC
2025-03-01,South Australia,Online,35 - 44,Male,Buying or selling,Shopping scams,9083.12,9,2025,3,March,NASC
2025-03-01,South Australia,Online,45 - 54,Male,Buying or selling,Shopping scams,1687.13,11,2025,3,March,NASC
2025-03-01,South Australia,Online,18 - 24,Male,Buying or selling,Shopping scams,1600.0,5,2025,3,March,NASC
2025-03-01,South Australia,Online,Under 18,Male,Buying or selling,Shopping scams,60.0,2,2025,3,March,NASC
2025-03-01,South Australia,Online,55 - 64,Male,Buying or selling,Shopping scams,8330.63,9,2025,3,March,NASC
2025-03-01,South Australia,Online,25 - 34,Male,Buying or selling,Shopping scams,5871.73,4,2025,3,March,NASC
